year,GEOID,NAME,state,county,tract,total_units_b25024,units_1_detached,units_1_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_home,boat_rv_van,total_housing_units,total_units_b25002,occupied_units,vacant_units,tenure_total,owner_occupied,renter_occupied,pop_in_occupied_total,pop_in_owner_occupied,pop_in_renter_occupied,median_income_all_occupied,median_income_owner_occupied,median_income_renter_occupied,units_by_tenure_total,owner_units_total,owner_1_detached,owner_1_attached,owner_2,owner_3_4,owner_5_9,owner_10_19,owner_20_49,owner_50_plus,owner_mobile_home,owner_boat_rv_van,renter_units_total,renter_1_detached,renter_1_attached,renter_2,renter_3_4,renter_5_9,renter_10_19,renter_20_49,renter_50_plus,renter_mobile_home,renter_boat_rv_van,median_owner_costs_total,median_owner_costs_with_mortgage,median_owner_costs_no_mortgage,median_household_income,single_family_units,pct_single_family,pct_vacant,pct_occupied,pct_renter_occupied,pct_owner_occupied,renter_single_family,pct_sf_renter_occupied,owner_renter_income_gap
2009,49035104400,"Census Tract 1044, Salt Lake County, Utah",49,035,104400,664,565,40,59,0,0,0,0,0,0,0,664,664,656,8,656,597,59,2170,1982,188,120278.0,122792.0,51131.0,656,597,542,17,38,0,0,0,0,0,0,0,59,15,23,21,0,0,0,0,0,0,0,1407.0,1750.0,647.0,120278.0,605,0.911144578313253,0.012048192771084338,0.9879518072289156,0.0899390243902439,0.9100609756097561,38,0.0628099173553719,71661.0
2009,49035104500,"Census Tract 1045, Salt Lake County, Utah",49,035,104500,566,465,14,87,0,0,0,0,0,0,0,566,566,553,13,553,395,158,1707,1251,456,65179.0,66488.0,63036.0,553,395,381,14,0,0,0,0,0,0,0,0,158,71,0,87,0,0,0,0,0,0,0,1460.0,1774.0,392.0,65179.0,479,0.8462897526501767,0.022968197879858657,0.9770318021201413,0.2857142857142857,0.7142857142857143,71,0.14822546972860126,3452.0
2009,49035104600,"Census Tract 1046, Salt Lake County, Utah",49,035,104600,540,253,20,45,103,21,62,36,0,0,0,540,540,500,40,500,201,299,996,397,599,39327.0,59609.0,38232.0,500,201,193,0,8,0,0,0,0,0,0,0,299,40,20,37,83,21,62,36,0,0,0,1134.0,1259.0,325.0,39327.0,273,0.5055555555555555,0.07407407407407407,0.9259259259259259,0.598,0.402,60,0.21978021978021978,21377.0
2009,49035104700,"Census Tract 1047, Salt Lake County, Utah",49,035,104700,2148,1395,167,183,57,159,48,45,94,0,0,2148,2148,1993,155,1993,1341,652,4757,3343,1414,51063.0,84205.0,36987.0,1993,1341,1140,76,0,24,72,17,0,12,0,0,652,128,91,183,33,59,31,45,82,0,0,1398.0,1686.0,368.0,51063.0,1562,0.7271880819366853,0.07216014897579143,0.9278398510242085,0.3271450075263422,0.6728549924736578,219,0.14020486555697823,47218.0
2009,49035104800,"Census Tract 1048, Salt Lake County, Utah",49,035,104800,2288,1529,101,223,27,288,25,39,19,37,0,2288,2288,2176,112,2176,1495,681,4738,3268,1470,55068.0,63342.0,38639.0,2176,1495,1252,24,13,27,115,25,39,0,0,0,681,202,77,210,0,173,0,0,19,0,0,1214.0,1414.0,347.0,55068.0,1630,0.7124125874125874,0.04895104895104895,0.951048951048951,0.31295955882352944,0.6870404411764706,279,0.17116564417177915,24703.0
2009,49035104900,"Census Tract 1049, Salt Lake County, Utah",49,035,104900,1372,866,56,191,239,9,11,0,0,0,0,1372,1372,1167,205,1167,733,434,2794,1639,1155,49386.0,51183.0,41818.0,1167,733,611,27,42,53,0,0,0,0,0,0,434,82,29,128,186,9,0,0,0,0,0,1127.0,1192.0,250.0,49386.0,922,0.6720116618075802,0.14941690962099125,0.8505830903790087,0.3718937446443873,0.6281062553556127,111,0.12039045553145336,9365.0
2009,49035110102,"Census Tract 1101.02, Salt Lake County, Utah",49,035,110102,2301,1773,207,16,0,38,21,37,153,56,0,2301,2301,1372,929,1372,1303,69,4006,3790,216,110694.0,118828.0,59844.0,1372,1303,1214,59,0,0,28,0,2,0,0,0,69,40,27,0,0,0,0,2,0,0,0,1772.0,2325.0,650.0,110694.0,1980,0.8604954367666232,0.4037375054324207,0.5962624945675793,0.05029154518950437,0.9497084548104956,67,0.03383838383838384,58984.0
2009,49035110103,"Census Tract 1101.03, Salt Lake County, Utah",49,035,110103,1309,1255,11,19,0,0,0,0,0,24,0,1309,1309,1147,162,1147,1018,129,2927,2637,290,100679.0,116019.0,60521.0,1147,1018,1018,0,0,0,0,0,0,0,0,0,129,75,11,19,0,0,0,0,0,24,0,1652.0,2311.0,502.0,100679.0,1266,0.9671504965622613,0.12375859434682965,0.8762414056531703,0.11246730601569312,0.8875326939843069,86,0.0679304897314376,55498.0
2009,49035110104,"Census Tract 1101.04, Salt Lake County, Utah",49,035,110104,2053,1974,0,0,0,9,9,0,0,61,0,2053,2053,1886,167,1886,1816,70,5490,5301,189,104000.0,109167.0,88047.0,1886,1816,1795,0,0,0,0,9,0,0,12,0,70,61,0,0,0,9,0,0,0,0,0,1796.0,2508.0,604.0,104000.0,1974,0.9615197272284461,0.08134437408670239,0.9186556259132976,0.03711558854718982,0.9628844114528102,61,0.03090172239108409,21120.0
2009,49035110200,"Census Tract 1102, Salt Lake County, Utah",49,035,110200,1874,1590,57,84,85,14,12,0,0,32,0,1874,1874,1789,85,1789,1487,302,5080,4414,666,65496.0,69071.0,36667.0,1789,1487,1454,13,0,20,0,0,0,0,0,0,302,83,44,84,65,14,12,0,0,0,0,1323.0,1612.0,341.0,65496.0,1647,0.8788687299893276,0.04535752401280683,0.9546424759871932,0.16880939072107323,0.8311906092789267,127,0.07710989678202793,32404.0
2009,49035110300,"Census Tract 1103, Salt Lake County, Utah",49,035,110300,2255,1603,225,259,62,33,13,53,0,7,0,2255,2255,2135,120,2135,1431,704,5276,3625,1651,57241.0,64563.0,41153.0,2135,1431,1234,162,28,0,0,0,0,0,7,0,704,291,63,189,62,33,13,53,0,0,0,1283.0,1502.0,336.0,57241.0,1828,0.8106430155210643,0.05321507760532151,0.9467849223946785,0.3297423887587822,0.6702576112412177,354,0.1936542669584245,23410.0
